No.,Time,Source,Destination,Protocol,Length,Info,Label
1,0,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
2,0.000162,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
53,5.000015,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
54,5.000175,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
89,8.455394,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
94,8.455761,172.24.10.211,172.24.10.1,DNP 3.0,197,Response,1
108,9.857394,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
160,14.90026,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
161,14.900456,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
195,18.321127,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
200,18.32142,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
246,23.350537,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
247,23.350747,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
296,28.350625,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
300,28.665278,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
305,28.665552,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
309,28.665729,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
358,33.700416,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
359,33.700613,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
410,38.700515,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
411,38.729161,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
416,38.72936,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
420,38.729604,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
468,43.750914,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
469,43.75111,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
518,48.750865,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
522,48.937616,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
527,48.937812,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
531,48.938026,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
576,53.95101,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
577,53.951206,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
627,58.914261,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
632,58.91462,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
679,63.951132,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
680,63.951341,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
731,68.951159,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
733,69.133781,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
735,69.133938,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
742,69.134144,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
791,74.15137,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
792,74.151576,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
839,78.962562,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
844,78.962809,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
895,84.001202,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
896,84.001425,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
945,89.001295,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
947,89.138268,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
949,89.138463,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
956,89.13874,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
1003,94.151634,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1004,94.151869,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1053,99.15164,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1057,99.32864,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1060,99.328838,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1066,99.329091,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
1113,104.351799,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1114,104.351998,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1161,109.186777,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1166,109.187036,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
1213,114.201713,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1214,114.201912,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1261,119.201737,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1267,119.675194,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1272,119.675387,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1276,119.67564,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
1325,124.701879,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1326,124.702081,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1373,129.482842,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1378,129.4832,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
1431,134.502048,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1432,134.502258,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1481,139.502063,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1485,139.828226,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1487,139.828505,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1494,139.828683,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
1540,144.852189,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1541,144.852384,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1589,149.713449,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1594,149.713802,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
1641,154.75252,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1642,154.752674,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1691,159.752591,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1692,159.775876,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1696,159.776061,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1701,159.776271,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
1750,164.802433,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1751,164.802632,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1798,169.80254,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1803,169.968981,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1807,169.969211,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1812,169.969415,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
