No.,Time,Source,Destination,Protocol,Length,Info,Label
1,0,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2,0.000207,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
56,5.050198,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
57,5.050364,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
114,10.100531,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
115,10.100687,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
149,13.012907,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
154,13.019971,172.24.10.210,172.24.10.1,DNP 3.0,189,Response,0
155,13.041849,172.24.10.1,172.24.10.210,DNP 3.0,69,Confirm,0
210,18.050454,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
211,18.050649,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
265,23.083765,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
270,23.090877,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
320,28.100886,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
321,28.101086,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
377,33.150513,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
378,33.150706,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
384,33.187559,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
389,33.19528,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
440,38.200813,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
441,38.201001,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
495,43.250861,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
496,43.251024,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
502,43.299375,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
507,43.309774,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
559,48.350823,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
560,48.350981,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
616,53.401041,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
617,53.402007,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
