No.,Time,Source,Destination,Protocol,Length,Info,Label
44,4.229033,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
45,4.229216,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
91,8.399512,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
96,8.40843,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
146,13.429216,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
147,13.429419,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
205,18.479288,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
209,18.59596,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
211,18.601093,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
218,18.612598,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
270,23.62919,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
271,23.629392,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
323,28.62625,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
328,28.634846,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
380,33.679621,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
381,33.679817,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
435,38.594857,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
440,38.605083,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
492,43.628684,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
493,43.628881,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
547,48.681668,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
549,48.77611,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
551,48.781192,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
558,48.787611,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
610,53.830814,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
