No.,Time,Source,Destination,Protocol,Length,Info,Label
33,3.199627,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
34,3.19983,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
89,8.249457,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
90,8.249666,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
144,13.299708,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
145,13.299859,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
199,18.349929,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
200,18.350118,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
209,18.895507,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
214,18.904167,172.24.10.210,172.24.10.1,DNP 3.0,189,Response,0
215,18.919013,172.24.10.1,172.24.10.210,DNP 3.0,69,Confirm,0
272,23.94894,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
273,23.949088,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
327,28.996619,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
328,28.999894,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
333,29.003457,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
337,29.006797,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
389,34.05052,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
390,34.050671,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
444,39.099727,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
445,39.100185,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
447,39.104083,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
455,39.109525,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
507,44.150416,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
508,44.150607,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
562,49.199051,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
563,49.200121,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
566,49.204278,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
574,49.209432,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
625,54.250772,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
626,54.251012,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
682,59.30046,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
683,59.302175,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
686,59.307794,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
694,59.312529,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
