No.,Time,Source,Destination,Protocol,Length,Info,Label
22,1.797846,172.24.10.1,172.24.10.210,DNP 3.0,78,Disable Spontaneous Messages,0
29,1.831595,172.24.10.210,172.24.10.1,DNP 3.0,71,Response,0
31,1.968361,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
36,1.979428,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
41,2.208672,172.24.10.1,172.24.10.210,DNP 3.0,78,Enable Spontaneous Messages,0
46,2.218219,172.24.10.210,172.24.10.1,DNP 3.0,71,Response,0
50,2.402838,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
55,2.410308,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
107,7.42775,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
108,7.427851,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
162,12.477958,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
163,12.478149,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
205,16.316487,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
210,16.32571,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
264,21.328131,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
265,21.328323,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
319,26.323805,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
324,26.333573,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
376,31.328246,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
377,31.328445,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
431,36.378577,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
433,36.445947,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
436,36.451739,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
442,36.455101,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
497,41.478486,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
498,41.478644,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
552,46.52834,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
553,46.574398,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
556,46.580244,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
562,46.585739,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
614,51.628365,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
615,51.628522,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
669,56.678702,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
670,56.694805,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
673,56.700625,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
679,56.706271,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
733,61.728756,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
734,61.728914,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
788,66.768604,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
794,66.776398,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,0
846,71.779119,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
847,71.779321,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
901,76.828909,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
903,76.944457,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
906,76.950029,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
912,76.953366,172.24.10.210,172.24.10.1,DNP 3.0,165,Response,
