No.,Time,Source,Destination,Protocol,Length,Info,Label
12,1.014142,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
13,1.014336,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
69,6.014209,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
70,6.014415,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
124,11.014317,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
125,11.01452,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
180,16.014306,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
181,16.014502,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
186,16.145073,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
191,16.145414,172.24.10.211,172.24.10.1,DNP 3.0,183,Response,1
192,16.157183,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
247,21.164654,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
248,21.164846,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
304,26.16466,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
305,26.164859,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
309,26.243211,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
314,26.243513,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
366,31.264639,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
367,31.264838,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
421,36.264613,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
422,36.264775,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
426,36.346029,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
431,36.346422,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
485,41.36498,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
486,41.365166,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
542,46.365014,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
543,46.365226,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
547,46.450709,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
552,46.450971,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
604,51.464951,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
605,51.465142,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
659,56.465024,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
660,56.465224,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
664,56.553548,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
669,56.553881,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
721,61.565288,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
722,61.565486,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
780,66.565309,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
781,66.565511,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
786,66.65651,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
791,66.656828,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
843,71.665205,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
844,71.6654,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
898,76.665285,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
899,76.665462,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
903,76.758991,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
908,76.759275,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
960,81.765607,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
961,81.765799,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1017,86.765676,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1018,86.765885,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1022,86.864139,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1027,86.86446,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
1081,91.865561,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1082,91.865717,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1136,96.865585,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1137,96.865748,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1141,96.967705,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1146,96.968017,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
1198,102.01579,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1199,102.015984,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1255,107.015829,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1256,107.016035,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1260,107.073696,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1265,107.074026,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
1318,112.115812,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1319,112.115973,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1375,117.115908,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1376,117.116102,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1380,117.167636,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1385,117.167955,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
1437,122.215991,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1438,122.216172,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1492,127.216064,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1493,127.216256,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1499,127.284154,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1504,127.284475,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
1558,132.316191,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1559,132.316381,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1612,137.316253,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1613,137.316342,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1619,137.365447,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1624,137.365691,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
1676,142.366525,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1677,142.366758,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1731,147.366632,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1732,147.366832,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1738,147.493588,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1743,147.493859,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
1799,152.516405,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1800,152.516598,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1852,157.516508,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1853,157.516703,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1860,157.599706,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1865,157.600046,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
1917,162.616615,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1918,162.616831,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1972,167.616668,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1973,167.616828,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1979,167.709487,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1984,167.709735,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
2038,172.716772,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
2039,172.716967,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
2091,177.716854,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
2092,177.717049,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
2098,177.802597,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
2103,177.802897,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
2155,182.816982,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
2156,182.817177,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
2213,187.817096,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
2214,187.817252,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
2220,187.913044,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
2225,187.913368,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
2284,192.917102,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
2285,192.917299,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
2344,197.917134,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
2345,197.917335,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
2349,198.025952,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
2354,198.026266,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
2411,203.067266,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
2412,203.067439,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
2471,208.067357,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
2473,208.120348,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
2478,208.120594,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
2482,208.12082,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
2543,213.16762,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
2544,213.16781,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
2604,218.167636,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
2607,218.229366,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
2611,218.229582,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
2616,218.229749,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
2673,223.267561,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
2674,223.267746,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
2733,228.267626,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
2735,228.336584,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
2739,228.336828,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
2744,228.337,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
2803,233.368032,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
2804,233.36823,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
2865,238.369137,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
2866,238.388322,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
2871,238.38861,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
2875,238.388929,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
2932,243.417859,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
2933,243.418012,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
2992,248.417935,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
2993,248.418089,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
2997,248.480633,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
3002,248.480968,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
3063,253.517993,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
3064,253.518178,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
3124,258.51807,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
3125,258.518257,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
3131,258.586663,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
3136,258.586954,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
3195,263.618115,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
3196,263.61826,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
3244,267.690737,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
3249,267.691078,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
3262,268.714331,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
3267,268.714635,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
3324,273.718393,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
3325,273.718596,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
3386,278.718392,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
3387,278.718595,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
3391,278.810171,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
3396,278.810547,172.24.10.211,172.24.10.1,DNP 3.0,165,Response,1
3453,283.818435,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
