No.,Time,Source,Destination,Protocol,Length,Info,Label
22,1.812799,172.24.10.1,172.24.10.211,DNP 3.0,78,Disable Spontaneous Messages,1
27,1.820464,172.24.10.211,172.24.10.1,DNP 3.0,71,Response,1
32,2.115807,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
37,2.116203,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
41,2.452032,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
48,2.620106,172.24.10.1,172.24.10.211,DNP 3.0,78,Enable Spontaneous Messages,1
53,2.620363,172.24.10.211,172.24.10.1,DNP 3.0,71,Response,1
57,2.962177,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
62,2.962508,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
67,3.084065,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
119,8.120594,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
120,8.120778,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
169,13.120635,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
171,13.120855,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
208,16.858123,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
213,16.858485,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
217,17.033482,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
268,22.070699,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
269,22.070838,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
315,26.974038,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
320,26.974375,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
325,27.117766,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
375,32.12097,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
376,32.121159,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
423,37.121012,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
426,37.135042,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
431,37.135405,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
435,37.135625,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
437,37.349189,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
489,42.371317,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
490,42.371502,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
541,47.225501,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
546,47.225845,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
548,47.410258,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
598,52.421247,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
599,52.421402,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
648,57.366889,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
653,57.367247,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
655,57.484302,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
705,62.521367,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
706,62.521513,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
753,67.358876,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
758,67.359219,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
762,67.513159,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
812,72.521646,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
813,72.521841,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
860,77.492358,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
865,77.492645,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
869,77.656604,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
923,82.671762,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
924,82.671951,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
973,87.629489,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
978,87.629812,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
984,87.928706,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
1034,92.972011,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1035,92.972161,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1082,97.787573,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1087,97.787947,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
1091,98.119562,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
1143,103.122021,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1144,103.122172,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1191,107.981398,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1196,107.981659,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
1200,108.122965,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
1252,113.122196,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1253,113.122384,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1300,117.884243,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1305,117.884623,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
1307,118.105782,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
1361,123.12234,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1362,123.122531,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1411,127.986418,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1416,127.986813,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
1418,128.145145,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
1469,133.172747,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1470,133.172947,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1518,138.082796,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1523,138.083158,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
1528,138.38631,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
1579,143.422655,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1580,143.422802,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1627,148.221022,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1632,148.221344,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
1636,148.51746,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
1686,153.522838,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1687,153.523031,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1736,158.441244,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1741,158.441502,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
1747,158.809146,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
1799,163.822997,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
1800,163.823214,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
1845,168.399773,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",1
1850,168.400081,172.24.10.211,172.24.10.1,DNP 3.0,211,Response,1
1852,168.564101,172.24.10.1,172.24.10.211,DNP 3.0,69,Confirm,1
