No.,Time,Source,Destination,Protocol,Length,Info,Label
72,4.714386,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
73,4.714492,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
163,9.764195,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
164,9.76446,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
246,14.814327,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",1
247,14.814414,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",1
320,18.242449,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
325,18.247773,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
414,23.264478,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
415,23.26466,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
494,28.314675,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
501,28.63425,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
505,28.637378,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
510,28.641725,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
602,33.664658,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
603,33.664975,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
673,38.345458,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
678,38.350492,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
771,43.364745,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
772,43.364857,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
857,48.313694,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
862,48.318643,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
948,53.364862,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
949,53.365002,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1033,58.350872,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
1038,58.355909,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
1111,63.365041,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1112,63.365197,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1202,68.415154,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1209,68.61448,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
1214,68.617895,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1218,68.620895,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
1287,73.665422,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1288,73.665528,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1383,78.46783,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
1388,78.473107,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
1461,83.515665,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1462,83.515881,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1549,88.56558,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1550,88.565768,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1561,88.812802,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
1566,88.818128,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
1641,93.815711,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1642,93.815869,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1724,98.601191,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
1729,98.606573,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
1810,103.615933,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1811,103.616115,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1884,108.666011,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1890,108.958175,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
1895,108.961656,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
1899,108.966196,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
1989,113.966015,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
1990,113.966096,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2074,119.016174,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2076,119.098897,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
2081,119.102341,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2085,119.106766,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
2172,124.116451,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2173,124.116581,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2254,129.166252,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2255,129.208419,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
2260,129.212061,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2264,129.216638,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
2343,134.216466,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2344,134.216636,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2430,139.266464,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2434,139.361948,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
2439,139.365436,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2443,139.370021,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
2511,144.416569,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2512,144.416647,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2603,149.466474,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2611,150.107772,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
2616,150.111303,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2620,150.115693,172.24.10.210,172.24.10.1,DNP 3.0,148,Response,0
2693,155.116956,172.24.10.210,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
2694,155.117141,172.24.10.1,172.24.10.210,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
2777,159.318409,172.24.10.1,172.24.10.210,DNP 3.0,81,"Read, Class 0123",0
